day,day_ratio,antimuslim_FALSE,antimuslim_TRUE,total_n
2019-03-14T00:00:00Z,0.012453122078721915,269386,3397,272783
2019-03-15T00:00:00Z,0.011245885439501172,426243,4848,431091
2019-03-16T00:00:00Z,0.013106493270036601,368584,4895,373479
2019-03-17T00:00:00Z,0.012715985668774006,397911,5125,403036
2019-03-18T00:00:00Z,0.013170918038945061,467606,6241,473847
2019-03-19T00:00:00Z,0.007345292431801295,514349,3806,518155
2019-03-20T00:00:00Z,0.009680323881515894,751206,7343,758549
2019-03-21T00:00:00Z,0.010444569736131028,845965,8929,854894
2019-03-22T00:00:00Z,0.012563012682277401,712026,9059,721085
2019-03-23T00:00:00Z,0.027890995290686404,767273,22014,789287
2019-03-24T00:00:00Z,0.01971998581367522,591499,11899,603398
2019-03-25T00:00:00Z,0.009549732422956266,601132,5796,606928
2019-03-26T00:00:00Z,0.013196622662334827,632987,8465,641452
2019-03-27T00:00:00Z,0.013813317147850102,874147,12244,886391
2019-03-28T00:00:00Z,0.014703161608970497,665703,9934,675637
2019-03-29T00:00:00Z,0.02572143545084799,916498,24196,940694
2019-03-30T00:00:00Z,0.015452332932705596,623389,9784,633173
2019-03-31T00:00:00Z,0.008387020097701715,483923,4093,488016
2019-04-01T00:00:00Z,0.009406286586804488,667572,6339,673911
2019-04-02T00:00:00Z,0.010105492246773267,818717,8358,827075
2019-04-03T00:00:00Z,0.014855793707195199,752728,11351,764079
2019-04-04T00:00:00Z,0.018509017482905638,654256,12338,666594
2019-04-05T00:00:00Z,0.01689348609826535,572924,9845,582769
2019-04-06T00:00:00Z,0.03879984952838294,413937,16709,430646
2019-04-07T00:00:00Z,0.021248347891760826,492454,10691,503145
2019-04-08T00:00:00Z,0.013622892201215332,522191,7212,529403
2019-04-09T00:00:00Z,0.011872629303057367,496784,5969,502753
2019-04-10T00:00:00Z,0.014299613869060786,548078,7951,556029
2019-04-11T00:00:00Z,0.019992786688864773,608657,12417,621074
2019-04-12T00:00:00Z,0.03247521911207298,485502,16296,501798
2019-04-13T00:00:00Z,0.023607811535201098,373181,9023,382204
2019-04-14T00:00:00Z,0.017249137990123765,329765,5788,335553
2019-04-15T00:00:00Z,0.013372235280160748,266131,3607,269738
2019-04-16T00:00:00Z,0.008102594221154068,256709,2097,258806
2019-04-17T00:00:00Z,0.008548164911935453,322436,2780,325216
2019-04-18T00:00:00Z,0.014425800979564028,283529,4150,287679
2019-04-19T00:00:00Z,0.01902573859353125,191289,3710,194999
2019-04-20T00:00:00Z,0.014738084162516025,173680,2598,176278
2019-04-21T00:00:00Z,0.014190991451700071,169639,2442,172081
