day,day_ratio,antimuslim_FALSE,antimuslim_TRUE,total_n
2019-11-30T00:00:00Z,NA,10,NA,NA
2019-12-01T00:00:00Z,0.013358260526185892,159907,2165,162072
2019-12-02T00:00:00Z,0.010653737579942904,186099,2004,188103
2019-12-03T00:00:00Z,0.012055746632272858,275755,3365,279120
2019-12-04T00:00:00Z,0.018716185965161867,234518,4473,238991
2019-12-05T00:00:00Z,0.014298718799813962,247964,3597,251561
2019-12-06T00:00:00Z,0.01769483937456367,443221,7984,451205
2019-12-07T00:00:00Z,0.02175876107127001,259995,5783,265778
2019-12-08T00:00:00Z,0.018187794456009643,268830,4980,273810
2019-12-09T00:00:00Z,0.014309477902536767,312870,4542,317412
2019-12-10T00:00:00Z,0.014746975454343385,372335,5573,377908
2019-12-11T00:00:00Z,0.013168848350125321,438605,5853,444458
2019-12-12T00:00:00Z,0.03390584566028267,627568,22025,649593
2019-12-13T00:00:00Z,0.024987029530805425,1304230,33424,1337654
2019-12-14T00:00:00Z,0.016969945807970753,397442,6861,404303
2019-12-15T00:00:00Z,0.010963731773909339,255384,2831,258215
2019-12-16T00:00:00Z,0.012366670109024386,267779,3353,271132
