day,day_ratio,antimuslim_FALSE,antimuslim_TRUE,total_n
2019-03-14T00:00:00Z,0.012453122078721915,269386,3397,272783
2019-03-15T00:00:00Z,0.011245885439501172,426243,4848,431091
2019-03-16T00:00:00Z,0.013106493270036601,368584,4895,373479
2019-03-17T00:00:00Z,0.012715985668774006,397911,5125,403036
2019-03-18T00:00:00Z,0.013170918038945061,467606,6241,473847
2019-03-19T00:00:00Z,0.007345292431801295,514349,3806,518155
2019-03-20T00:00:00Z,0.009680323881515894,751206,7343,758549
2019-03-21T00:00:00Z,0.010444569736131028,845965,8929,854894
2019-03-22T00:00:00Z,0.012563012682277401,712026,9059,721085
2019-03-23T00:00:00Z,0.027890995290686404,767273,22014,789287
2019-03-24T00:00:00Z,0.01971998581367522,591499,11899,603398
2019-03-25T00:00:00Z,0.009549732422956266,601132,5796,606928
2019-03-26T00:00:00Z,0.013196622662334827,632987,8465,641452
2019-03-27T00:00:00Z,0.013813317147850102,874147,12244,886391
2019-03-28T00:00:00Z,0.014703161608970497,665703,9934,675637
2019-03-29T00:00:00Z,0.02572143545084799,916498,24196,940694
2019-03-30T00:00:00Z,0.015452332932705596,623389,9784,633173
2019-03-31T00:00:00Z,0.008286903537498239,471509,3940,475449
